Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
22-May-2012,14:27,14:52,"Golders Green to Caledonian Road",2.25,,6.50,"The fare for this journey was capped as you reached the daily charging limit for the zones used"
22-May-2012,11:43,,"Bus journey, route 82",0.15,,8.75,"The fare for this journey was capped as you reached the daily charging limit for the zones used"
22-May-2012,11:11,11:35,"Kings Cross (Piccadilly, Victoria lines) to Golders Green",2.60,,8.90,""
22-May-2012,11:11,,"Topped up, Kings Cross (Piccadilly, Victoria lines)",,10.00,11.50,""
22-May-2012,11:00,,"Bus journey, route 91",1.35,,1.50,""
22-May-2012,10:21,,"Bus journey, route 390",1.35,,2.85,""
22-May-2012,09:22,,"Bus journey, route 17",1.35,,4.20,""
21-May-2012,14:00,,"Bus journey, route 91",1.35,,5.55,""
21-May-2012,13:33,,"Bus journey, route 263",1.35,,6.90,""
21-May-2012,12:24,,"Bus journey, route 232",1.35,,8.25,""
21-May-2012,11:42,12:02,"Caledonian Road to Arnos Grove",1.40,,9.60,""
21-May-2012,11:42,,"Topped up, Caledonian Road",,10.00,11.00,""
17-May-2012,12:49,13:10,"Arnos Grove to Caledonian Road",1.40,,1.00,""
17-May-2012,12:35,,"Bus journey, route 232",1.35,,2.40,""
17-May-2012,11:25,,"Bus journey, route 232",1.35,,3.75,""
17-May-2012,10:56,11:21,"Caledonian Road to Arnos Grove",1.40,,5.10,""
